player_name,game_date,events,stand,batter,pitcher,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle
"Bichette, Bo",2023-06-03,single,R,666182,656731,192.37,123.64,88.9,19,250,0.579,0.554
"Bichette, Bo",2023-06-02,single,R,666182,434378,122.97,178.13,106.2,3,97,0.584,0.551
"Bichette, Bo",2023-06-02,single,R,666182,434378,117.1,183.51,95.9,1,53,0.397,0.359
"Bichette, Bo",2023-06-02,field_out,R,666182,434378,186.77,97.28,87.9,24,294,0.118,0.114
"Bichette, Bo",2023-06-02,field_out,R,666182,622098,140.71,144.24,89.8,-14,13,0.114,0.114
"Bichette, Bo",2023-06-01,grounded_into_double_play,R,666182,642547,111.26,178.16,80.9,-11,9,0.073,0.078
"Bichette, Bo",2023-06-01,field_out,R,666182,642547,113.43,122.81,71.7,48,196,0.153,0.15
"Bichette, Bo",2023-06-01,home_run,R,666182,642547,137.62,31.91,108.2,22,414,0.885,1.6648043478260868
"Bichette, Bo",2023-05-31,field_out,R,666182,527054,169.67,79.01,89.8,25,318,0.082,0.088
"Bichette, Bo",2023-05-31,field_out,R,666182,527054,142.97,149.05,108.9,-18,7,0.193,0.185
"Bichette, Bo",2023-05-31,single,R,666182,527054,104.41,74.78,90.3,11,212,0.708,0.637
